ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก (4 ล้อ),รถบรรทุกขนาด 2 เพลา (6ล้อ),รถบรรทุกขนาด 3 เพลา (10ล้อ),รถบรรทุกพ่วง (มากกว่า 3 เพลา),รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,% ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
243,100,หนองคาย - ด่านพรมแดนสะพานมิตรภาพไทย/ลาว,1+000,10891,4358,2267,791,608,2894,1667,1012,1064,917,26470,22.893,2185,4042,หนองคาย,หนองคาย
288,100,ถนนวงแหวนรอบเมืองบุรีรัมย์,2+100,6649,2515,410,158,193,12585,691,383,175,35,23793,6.869,30,11705,บุรีรัมย์,บุรีรัมย์
288,100,ถนนวงแหวนรอบเมืองบุรีรัมย์,11+467,3389,2846,203,89,55,7827,263,226,65,35,14998,4.889,18,3220,บุรีรัมย์,บุรีรัมย์
290,102,ถนนวงแหวนรอบเมืองนครราชสีมาด้านทิศใต้,109+236,1891,394,42,30,53,2796,434,495,425,434,6993,26.735,53,331,นครราชสีมาที่ 2,นครราชสีมา
291,100,ทางเลี่ยงเมืองมหาสารคาม,13+853,9602,6529,132,93,82,9567,1062,441,164,119,27792,7.056,54,7135,มหาสารคาม,มหาสารคาม
291,100,ทางเลี่ยงเมืองมหาสารคาม,6+718,9562,6786,144,118,250,8521,1077,767,196,116,27538,9.17,59,7245,มหาสารคาม,มหาสารคาม
291,100,ทางเลี่ยงเมืองมหาสารคาม,2+010,9397,8704,108,113,90,9366,1018,211,186,128,29322,5.955,29,7697,มหาสารคาม,มหาสารคาม
292,100,ทางเลี่ยงเมืองยโสธร,3+600,8944,2505,88,88,106,6344,672,490,236,140,19613,8.834,17,4239,ยโสธร,ยโสธร
293,100,ถนนวงแหวนรอบเมืองสุรินทร์,32+535,3113,736,1,1,17,3295,785,637,772,604,9961,28.273,5,1149,สุรินทร์,สุรินทร์
293,100,ถนนวงแหวนรอบเมืองสุรินทร์,1+177,2489,376,65,11,3,1372,416,160,273,148,5313,19.046,4,1053,สุรินทร์,สุรินทร์
294,100,ทางเลี่ยงเมืองศรีสะเกษ,1+500,7274,3875,6,1,1,2162,842,667,533,363,15724,15.311,6,2915,ศรีสะเกษที่ 1,ศรีสะเกษ
299,101,ลำน้ำพาน - หนองผ้าอ้อม,4+619,4349,3165,287,249,259,3754,1023,512,447,378,14422,19.884,139,3537,กาฬสินธุ์,กาฬสินธุ์
299,300,คำพอก - หนองบง,117+825,4219,3262,137,19,303,5722,83,79,57,53,13934,4.262,33,3435,มุกดาหาร,มุกดาหาร
299,200,สี่แยกสมเด็จ - คำพอก,57+605,2812,1470,58,18,21,5007,466,298,357,265,10772,13.232,10,1705,สกลนครที่ 1,กาฬสินธุ์
299,101,ลำน้ำพาน - หนองผ้าอ้อม,19+604,2332,1799,123,104,105,1794,252,235,210,211,7167,15.602,170,1840,กาฬสินธุ์,กาฬสินธุ์
299,200,สี่แยกสมเด็จ - คำพอก,73+405,1843,990,46,49,89,3016,359,224,323,220,7160,17.658,46,1496,สกลนครที่ 1,กาฬสินธุ์
301,100,คลองบางเขน - ติวานนท์,5+075,63320,38755,1532,1522,2910,19512,971,89,0,0,128611,4.271,0,27301,นนทบุรี,นนทบุรี
302,202,สะพานพระนั่งเกล้า - ต่างระดับบางใหญ่,12+500,76548,12109,2154,2298,3761,16158,3228,1800,1444,1424,120923,11.54,16,13953,นนทบุรี,นนทบุรี
302,201,แยกพงษ์เพชร - สะพานพระนั่งเกล้า,5+822,59216,56899,1267,1101,1960,4766,2128,0,0,0,127336,4.075,0,30757,นนทบุรี,นนทบุรี
303,100,ราษฎร์บูรณะ - พระสมุทรเจดีย์,14+000,31303,11357,2768,2435,1046,27605,2211,1954,1846,616,83140,12.157,361,19715,สมุทรปราการ,สมุทรปราการ
304,100,ปากเกร็ด - คลองประปา,4+750,31834,25581,3523,841,3051,12583,875,0,0,0,78286,6.088,0,32974,นนทบุรี,นนทบุรี
304,201,คลองประปา - คันนายาว,18+610,31073,29656,58,95,3166,3832,220,192,174,215,68680,5.913,18,2644,กรุงเทพ,กรุงเทพมหานคร
304,201,คลองประปา - คันนายาว,7+050,27601,29416,88,61,2534,3483,148,75,136,142,63685,4.862,0,2652,กรุงเทพ,กรุงเทพมหานคร
304,303,เสม็ดเหนือ - พนมสารคาม,88+916,23207,11423,614,0,731,9329,6058,2917,2139,2106,58525,23.837,31,2036,ฉะเชิงเทรา,ฉะเชิงเทรา
304,203,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,28+250,19439,12902,2911,2358,2727,9747,3827,2837,1666,578,58993,23.722,480,9537,กรุงเทพ,กรุงเทพมหานคร
304,501,วังน้ำเขียว - ดอนขวาง,255+015,16870,5712,50,50,45,3286,2821,2314,2125,2224,35496,26.985,38,4337,นครราชสีมาที่ 3,นครราชสีมา
304,203,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,40+107,12985,9422,3120,0,2988,6508,3091,3016,3087,3095,47311,32.29,1736,3888,กรุงเทพ,กรุงเทพมหานคร
304,403,สี่แยกกบินทร์บุรี - วังน้ำเขียว,166+650,10370,1876,74,46,62,3113,2547,1685,2308,3113,25195,38.74,23,2677,ปราจีนบุรี,ปราจีนบุรี
304,402,ลาดตะเคียน - สี่แยกกบินทร์บุรี,165+136,10339,4238,111,24,79,6488,1952,1707,1883,1944,28766,26.383,12,2035,ปราจีนบุรี,ปราจีนบุรี
304,304,พนมสารคาม - เขาหินซ้อน,125+322,9908,4084,71,58,531,11253,3697,3660,3618,3962,40843,38.016,15,2716,ฉะเชิงเทรา,ฉะเชิงเทรา
304,402,ลาดตะเคียน - สี่แยกกบินทร์บุรี,153+785,8728,2720,193,29,122,7287,1983,1582,1797,1590,26030,27.283,21,1634,ปราจีนบุรี,ปราจีนบุรี
304,502,ดอนขวาง - โพธิ์กลาง,268+547,8222,5804,25,91,15,11609,820,868,917,891,29263,12.31,4,5793,นครราชสีมาที่ 3,นครราชสีมา
304,502,ดอนขวาง - โพธิ์กลาง,283+515,7725,6676,7,122,18,9334,716,728,683,643,26652,10.919,4,5503,นครราชสีมาที่ 3,นครราชสีมา
304,403,สี่แยกกบินทร์บุรี - วังน้ำเขียว,205+460,6775,1613,59,43,25,1728,871,664,628,1530,13937,26.993,18,917,ปราจีนบุรี,ปราจีนบุรี
304,401,เขาหินซ้อน - ลาดตะเคียน,129+716,6581,7371,428,373,340,6190,5243,6991,6769,2740,43027,52.192,18,5107,ปราจีนบุรี,ปราจีนบุรี
304,502,ดอนขวาง - โพธิ์กลาง,269+615,6034,4230,14,81,18,7862,798,603,659,966,21266,14.699,5,3287,นครราชสีมาที่ 3,นครราชสีมา
