ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
4023,100,เมืองภูเก็ต - แหลมพันวา,6+800,"2,353","1,951",22,26,18,"1,930",25,13,4,2,"6,344",1.387,38,2059,ขท.ภูเก็ต,ภูเก็ต
4024,101,บางคู  - ตีนเขา,2+000,"11,939","2,553",81,123,68,"11,420",407,243,128,82,"27,044",3.886,20,7634,ขท.ภูเก็ต,ภูเก็ต
4024,101,บางคู  - ตีนเขา,11+037,"22,517",403,124,34,16,"15,552",82,71,46,38,"38,883",0.738,11,15473,ขท.ภูเก็ต,ภูเก็ต
4024,102,ตีนเขา - หาดราไวย์,19+559,"1,932","1,990",28,21,19,"1,739",25,9,2,0,"5,765",1.318,12,3974,ขท.ภูเก็ต,ภูเก็ต
4025,100,ท่าเรือ -  เชิงทะเล,3+160,"3,462","3,149",27,20,18,"3,846",23,7,0,1,"10,553",0.654,21,2975,ขท.ภูเก็ต,ภูเก็ต
4026,100,ทางเข้าสนามบินภูเก็ต,1+500,"7,481","1,017",80,56,23,"3,122",70,57,31,23,"11,960",2.174,20,3297,ขท.ภูเก็ต,ภูเก็ต
4027,100,ท่าเรือ - เมืองใหม่,0+500,"7,474",625,37,39,14,"9,046",452,174,29,18,"17,908",4.054,54,6973,ขท.ภูเก็ต,ภูเก็ต
4028,100,ห้าแยกฉลอง - กะรน,0+500,"2,964","2,788",27,15,18,"2,503",38,16,0,0,"8,369",1.04,14,4125,ขท.ภูเก็ต,ภูเก็ต
4029,100,กะทู้ - ป่าตอง,0+000,"6,852","4,530",97,67,58,"4,171",171,40,13,6,"16,005",2.218,36,9357,ขท.ภูเก็ต,ภูเก็ต
4030,100,ถลาง - หาดราไวย์,1+000,"1,954","1,192",46,24,24,"2,329",38,35,8,8,"5,658",2.421,42,3633,ขท.ภูเก็ต,ภูเก็ต
4030,100,ถลาง - หาดราไวย์,13+950,"2,050","1,048",41,24,19,"2,309",83,20,3,2,"5,599",2.697,56,2813,ขท.ภูเก็ต,ภูเก็ต
4030,100,ถลาง - หาดราไวย์,24+140,"3,762","4,047",51,31,25,"3,506",62,39,8,5,"11,536",1.474,34,4244,ขท.ภูเก็ต,ภูเก็ต
4031,100,มุดดอกขาว - สนามบินภูเก็ต,1+200,"2,606",789,65,25,32,"2,396",145,66,32,13,"6,169",5.074,26,2505,ขท.ภูเก็ต,ภูเก็ต
4031,100,มุดดอกขาว - สนามบินภูเก็ต,10+722,"2,002","1,239",0,0,0,"1,231",9,8,0,0,"4,489",0.379,0,1334,ขท.ภูเก็ต,ภูเก็ต
